filename,width,height,etiqueta,xmin,ymin,xmax,ymax
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-000.jpg,1064,1716,Signature,144,1570,166,1586
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-000.jpg,1064,1716,Signature,110,1566,119,1586
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-000.jpg,1064,1716,Signature,648,1562,661,1574
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-000.jpg,1064,1716,Signature,37,1562,51,1577
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-000.jpg,1064,1716,Signature,10,1559,35,1572
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-003.jpg,1025,1672,Signature,820,1606,834,1622
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-003.jpg,1025,1672,Signature,148,1606,247,1618
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-003.jpg,1025,1672,Signature,683,1602,710,1617
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-003.jpg,1025,1672,Signature,793,1601,819,1617
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-003.jpg,1025,1672,Signature,633,1600,655,1615
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-004.jpg,1085,1698,Signature,0,1671,484,1698
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-004.jpg,1085,1698,Signature,922,1655,1002,1668
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-004.jpg,1085,1698,Signature,1073,1632,1085,1698
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-004.jpg,1085,1698,Signature,1001,1613,1019,1645
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-004.jpg,1085,1698,Signature,975,1611,1000,1637
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-005.jpg,973,1699,Signature,19,1600,62,1617
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-005.jpg,973,1699,Signature,133,1598,147,1611
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-005.jpg,973,1699,Signature,104,1598,118,1613
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-005.jpg,973,1699,Signature,163,1597,188,1610
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-005.jpg,973,1699,Signature,313,1596,326,1607
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-006.jpg,1240,1229,Signature,1126,1165,1231,1187
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-006.jpg,1240,1229,Signature,1154,1163,1174,1171
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-006.jpg,1240,1229,Signature,1163,1118,1214,1150
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-006.jpg,1240,1229,Signature,1149,1118,1160,1150
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-006.jpg,1240,1229,Signature,881,1090,894,1108
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-013.jpg,1170,1201,Signature,1014,270,1026,293
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-013.jpg,1170,1201,Signature,1019,248,1032,268
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-013.jpg,1170,1201,Signature,1004,211,1023,225
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-013.jpg,1170,1201,Signature,412,136,454,144
AGN_DFS_AdeR_Declaracion_de_Alfredo_Tecla_Parra_pg-013.jpg,1170,1201,Signature,804,43,819,72
